File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Dropbox\THESIS\project\TorEncStats\main.py,269,194,0,28,65,1,10,13,0,0
E:\Dropbox\THESIS\project\TorEncStats\automation\boto_funcs.py,74,60,4,11,14,0,0,0,0,0
E:\Dropbox\THESIS\project\TorEncStats\automation\fabric_funcs.py,161,127,0,9,34,3,0,4,0,0
E:\Dropbox\THESIS\project\TorEncStats\components\authority.py,130,93,5,4,37,0,0,0,0,0
E:\Dropbox\THESIS\project\TorEncStats\components\client.py,264,202,5,21,62,0,0,0,0,0
E:\Dropbox\THESIS\project\TorEncStats\components\fetch.py,148,106,0,23,42,0,0,0,0,0
E:\Dropbox\THESIS\project\TorEncStats\components\processor.py,339,240,6,22,99,0,0,0,0,0
E:\Dropbox\THESIS\project\TorEncStats\components\user.py,290,226,35,18,64,0,0,0,0,0
E:\Dropbox\THESIS\project\TorEncStats\components\includes\Classes.py,477,359,6,62,118,0,0,0,0,0
E:\Dropbox\THESIS\project\TorEncStats\components\includes\config.py,42,31,0,0,11,0,0,0,0,0
E:\Dropbox\THESIS\project\TorEncStats\components\includes\operations.py,248,181,1,22,67,3,0,4,0,0
E:\Dropbox\THESIS\project\TorEncStats\components\includes\parser.py,102,77,0,19,25,0,0,0,0,0
E:\Dropbox\THESIS\project\TorEncStats\components\includes\SocketExtend.py,52,39,0,10,13,0,0,0,0,0
E:\Dropbox\THESIS\project\TorEncStats\components\includes\utilities.py,84,48,2,11,11,1,25,49,0,0
E:\Dropbox\THESIS\project\TorEncStats\tools\generate_db.py,64,42,4,2,22,0,0,0,0,0
